agent_arch,anomaly_flag,ars_score,cascade_ars,confidence,delta_C,delta_K,delta_R,delta_S,delta_T,epistemic_gap,fn_score,hallucinated,latency_ms,run_id,scenario_id,split,task_success,taxonomy_impact,taxonomy_manifestation,taxonomy_origin,taxonomy_severity,threat_type,uncertainty
AUT-1,True,0.577871,,0.7621204323826674,0.0,0.7,0.483871,0.285714,0.0,0.585081,0.566628,True,359.55,saf1k_0826_T5-01_AUT-1_dS0.33_dK0.66_dC0.0_T0.0_r0,T5-01,train,False,I2,M1,O3,medium,T5,0.164169
AUT-1,False,0.845593,,0.8748222782317915,0.0,0.333333,0.076923,0.0,0.154646,0.282529,0.236585,False,253.93,saf1k_0845_T5-02_AUT-1_dS0.0_dK0.33_dC0.0_T168.0_r2,T5-02,train,True,I2,M5,O3,medium,T5,0.152414
AUT-1,False,0.845593,,0.7941053121080164,0.0,0.333333,0.076923,0.0,0.154646,0.258579,0.198514,False,252.68,saf1k_0843_T5-02_AUT-1_dS0.0_dK0.33_dC0.0_T168.0_r0,T5-02,train,True,I2,M1,O3,medium,T5,0.224262
AUT-1,True,0.544,,0.7843209654306088,0.0,0.666667,0.611111,0.4,0.0,0.622751,0.581441,False,354.1,saf1k_0827_T5-02_AUT-1_dS0.33_dK0.66_dC0.0_T0.0_r1,T5-02,train,False,I4,M2,O7,high,T5,0.065873
AUT-1,True,0.512466,,0.7962094847196718,0.285714,0.7,0.413793,0.285714,0.513248,0.615437,0.616562,True,361.0,saf1k_0846_T5-01_AUT-1_dS0.33_dK0.66_dC0.33_T720.0_r0,T5-01,train,False,I4,M5,O7,high,T5,0.120804
AUT-1,False,1.0,,0.8576320438355097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,146.99,saf1k_0801_T5-01_AUT-1_dS0.0_dK0.0_dC0.0_T0.0_r1,T5-01,train,True,I2,M1,O1,medium,T5,0.234676
AUT-1,False,0.916,,0.9382930428020151,0.0,0.0,0.0,0.6,0.0,0.0,0.14316,False,328.57,saf1k_0807_T5-02_AUT-1_dS0.66_dK0.0_dC0.0_T0.0_r2,T5-02,train,True,I2,M2,O1,medium,T5,0.150338
AUT-1,False,0.843077,,0.8706380928784162,0.666667,0.0,0.153846,0.0,0.0,0.0,0.0,False,344.48,saf1k_0819_T5-02_AUT-1_dS0.0_dK0.0_dC0.66_T0.0_r2,T5-02,train,True,I2,M5,O4,medium,T5,0.333159
AUT-1,True,0.577871,,0.7581145125262252,0.0,0.7,0.483871,0.285714,0.0,0.549224,0.478817,False,361.46,saf1k_0828_T5-01_AUT-1_dS0.33_dK0.66_dC0.0_T0.0_r2,T5-01,train,False,I2,M1,O3,medium,T5,0.215394
AUT-1,True,0.371311,,0.7748737533003923,0.714286,0.7,0.558824,0.714286,0.0,0.571771,0.589896,True,365.25,saf1k_0836_T5-01_AUT-1_dS0.66_dK0.66_dC0.66_T0.0_r1,T5-01,train,False,I4,M2,O7,high,T5,0.183184
AUT-1,False,0.944,,0.8778559932064848,0.0,0.0,0.0,0.4,0.0,0.0,0.139121,False,265.19,saf1k_0802_T5-02_AUT-1_dS0.33_dK0.0_dC0.0_T0.0_r0,T5-02,train,True,I2,M2,O1,medium,T5,0.182148
AUT-1,False,0.874286,,0.9091361823995787,0.0,0.0,0.107143,0.714286,0.0,0.0,0.188718,False,364.5,saf1k_0805_T5-01_AUT-1_dS0.66_dK0.0_dC0.0_T0.0_r0,T5-01,train,True,I2,M2,O1,medium,T5,0.282499
AUT-1,True,0.085263,,0.7234213329569781,1.0,1.0,0.894737,1.0,0.0,0.75047,0.834331,False,448.12,saf1k_0839_T5-02_AUT-1_dS1.0_dK1.0_dC1.0_T0.0_r0,T5-02,train,False,I5,M2,O7,critical,T5,0.24953
AUT-1,False,0.709333,,0.8824105903718553,0.333333,0.333333,0.2,0.4,0.0,0.29702,0.302895,True,265.67,saf1k_0834_T5-02_AUT-1_dS0.33_dK0.33_dC0.33_T0.0_r2,T5-02,train,False,I4,M2,O7,high,T5,0.108939
AUT-1,True,0.457419,,0.6871960574514506,0.0,1.0,0.677419,0.0,0.0,0.949057,0.765886,False,451.47,saf1k_0816_T5-01_AUT-1_dS0.0_dK1.0_dC0.0_T0.0_r2,T5-01,train,False,I5,M1,O3,critical,T5,0.050943
AUT-1,True,0.413205,,0.8040564387692742,0.333333,0.666667,0.777778,0.4,0.513248,0.653333,0.584058,False,349.0,saf1k_0849_T5-02_AUT-1_dS0.33_dK0.66_dC0.33_T720.0_r3,T5-02,train,False,I4,M4,O7,high,T5,0.02
AUT-1,False,0.666667,,0.7953760031283453,0.0,0.666667,0.333333,0.0,0.0,0.579144,0.472997,True,350.88,saf1k_0812_T5-02_AUT-1_dS0.0_dK0.66_dC0.0_T0.0_r1,T5-02,train,False,I2,M2,O3,medium,T5,0.131284
AUT-1,True,0.512466,,0.780473276940827,0.285714,0.7,0.413793,0.285714,0.513248,0.607987,0.525481,False,361.5,saf1k_0848_T5-01_AUT-1_dS0.33_dK0.66_dC0.33_T720.0_r2,T5-01,train,False,I4,M1,O7,high,T5,0.131447
AUT-1,True,0.371311,,0.8172413683531892,0.714286,0.7,0.558824,0.714286,0.0,0.558161,0.584793,False,363.85,saf1k_0835_T5-01_AUT-1_dS0.66_dK0.66_dC0.66_T0.0_r0,T5-01,train,False,I4,M2,O7,high,T5,0.202626
AUT-1,False,0.916,,0.9262386628759907,0.0,0.0,0.0,0.6,0.0,0.0,0.048577,False,328.44,saf1k_0806_T5-02_AUT-1_dS0.66_dK0.0_dC0.0_T0.0_r1,T5-02,validation,True,I2,M2,O1,medium,T5,0.410654
AUT-1,False,0.845593,,0.8108246411338121,0.0,0.333333,0.076923,0.0,0.154646,0.274752,0.25619,False,248.81,saf1k_0844_T5-02_AUT-1_dS0.0_dK0.33_dC0.0_T168.0_r1,T5-02,validation,True,I2,M1,O3,medium,T5,0.175743
AUT-1,True,0.42902,,0.7559900260437016,0.666667,0.666667,0.823529,0.0,0.0,0.634349,0.471122,True,347.93,saf1k_0831_T5-02_AUT-1_dS0.0_dK0.66_dC0.66_T0.0_r2,T5-02,validation,False,I5,M4,O7,critical,T5,0.048476
AUT-1,False,0.708,,0.9069790594295559,1.0,0.0,0.466667,0.0,0.0,0.0,0.011556,False,447.9,saf1k_0820_T5-02_AUT-1_dS0.0_dK0.0_dC1.0_T0.0_r0,T5-02,validation,False,I4,M6,O4,high,T5,0.180057
AUT-1,False,0.854872,,0.8028496948816233,0.0,0.333333,0.076923,0.0,0.0,0.227584,0.184171,False,254.45,saf1k_0810_T5-02_AUT-1_dS0.0_dK0.33_dC0.0_T0.0_r2,T5-02,validation,True,I2,M1,O3,medium,T5,0.317249
AUT-1,False,0.769333,,0.8156966487125231,0.0,0.333333,0.2,0.4,0.0,0.283462,0.308668,False,268.27,saf1k_0824_T5-02_AUT-1_dS0.33_dK0.33_dC0.0_T0.0_r1,T5-02,validation,True,I2,M2,O1,medium,T5,0.149613
AUT-1,False,0.692753,,0.8450506420135317,0.285714,0.3,0.424242,0.285714,0.0,0.240376,0.232385,True,237.67,saf1k_0832_T5-01_AUT-1_dS0.33_dK0.33_dC0.33_T0.0_r0,T5-01,validation,False,I3,M4,O5,medium,T5,0.198748
AUT-1,True,0.459974,,0.8211750668103829,0.714286,0.7,0.606061,0.0,0.0,0.658988,0.500075,False,362.95,saf1k_0830_T5-01_AUT-1_dS0.0_dK0.66_dC0.66_T0.0_r1,T5-01,validation,False,I4,M5,O7,high,T5,0.058588
AUT-1,False,0.854872,,0.8497794407243576,0.0,0.333333,0.076923,0.0,0.0,0.255942,0.24622,False,251.14,saf1k_0809_T5-02_AUT-1_dS0.0_dK0.33_dC0.0_T0.0_r1,T5-02,validation,True,I2,M3,O3,medium,T5,0.232173
AUT-1,True,0.457419,,0.7047416192746815,0.0,1.0,0.677419,0.0,0.0,0.802304,0.675538,False,455.17,saf1k_0814_T5-01_AUT-1_dS0.0_dK1.0_dC0.0_T0.0_r0,T5-01,validation,False,I5,M1,O3,critical,T5,0.197696
AUT-1,False,0.854872,,0.8755428789051116,0.0,0.333333,0.076923,0.0,0.0,0.256996,0.159359,False,250.93,saf1k_0808_T5-02_AUT-1_dS0.0_dK0.33_dC0.0_T0.0_r0,T5-02,test,True,I2,M3,O3,medium,T5,0.229011
AUT-1,False,0.871429,,0.8729734410090273,0.714286,0.0,0.0,0.0,0.0,0.0,0.045783,False,364.44,saf1k_0818_T5-01_AUT-1_dS0.0_dK0.0_dC0.66_T0.0_r1,T5-01,test,True,I2,M5,O4,medium,T5,0.139404
AUT-1,False,0.708,,0.9005375494862329,1.0,0.0,0.466667,0.0,0.0,0.0,0.0,False,451.92,saf1k_0822_T5-02_AUT-1_dS0.0_dK0.0_dC1.0_T0.0_r2,T5-02,test,True,I4,M5,O4,high,T5,0.252817
AUT-1,False,0.843077,,0.9183413099418949,0.666667,0.0,0.153846,0.0,0.0,0.0,0.0,False,350.14,saf1k_0817_T5-02_AUT-1_dS0.0_dK0.0_dC0.66_T0.0_r0,T5-02,test,False,I2,M5,O4,medium,T5,0.208645
AUT-1,True,0.365825,,0.7631352510594762,0.666667,0.666667,0.736842,0.6,0.0,0.557011,0.592297,True,348.53,saf1k_0838_T5-02_AUT-1_dS0.66_dK0.66_dC0.66_T0.0_r3,T5-02,test,False,I4,M3,O7,high,T5,0.164483
AUT-1,True,0.47,,0.7245053501431968,0.0,1.0,0.625,0.0,0.0,0.880977,0.718,False,448.72,saf1k_0815_T5-02_AUT-1_dS0.0_dK1.0_dC0.0_T0.0_r1,T5-02,test,False,I5,M1,O3,critical,T5,0.119023
AUT-1,True,0.085263,,0.6721332622852254,1.0,1.0,0.894737,1.0,0.0,0.799886,0.886876,True,449.74,saf1k_0840_T5-02_AUT-1_dS1.0_dK1.0_dC1.0_T0.0_r1,T5-02,test,False,I5,M2,O7,critical,T5,0.200114
AUT-1,False,0.74669,,0.8637293619137181,0.0,0.3,0.413793,0.285714,0.0,0.255302,0.317797,False,243.4,saf1k_0823_T5-01_AUT-1_dS0.33_dK0.33_dC0.0_T0.0_r0,T5-01,test,True,I3,M4,O5,medium,T5,0.148992
AUT-1,True,0.081176,,0.7023522792947969,1.0,1.0,0.911765,1.0,0.0,0.909672,0.946558,False,455.7,saf1k_0841_T5-01_AUT-1_dS1.0_dK1.0_dC1.0_T0.0_r2,T5-01,test,False,I5,M2,O7,critical,T5,0.090328
AUT-1,True,0.085263,,0.737011743618778,1.0,1.0,0.894737,1.0,0.0,0.743207,0.899635,True,449.12,saf1k_0842_T5-02_AUT-1_dS1.0_dK1.0_dC1.0_T0.0_r3,T5-02,test,False,I5,M5,O7,critical,T5,0.256793
AUT-3,False,0.68275,,0.7692053205152426,0.0,0.6,0.375,0.25,0.0,0.509871,0.502289,False,337.71,saf1k_0328_T2-01_AUT-3_dS0.33_dK0.66_dC0.0_T0.0_r2,T2-01,train,True,I2,M3,O3,medium,T2,0.150215
AUT-3,False,0.814465,,0.831733388073749,0.0,0.25,0.363636,0.0,0.395891,0.189091,0.166363,False,252.94,saf1k_0343_T2-02_AUT-3_dS0.0_dK0.33_dC0.0_T168.0_r0,T2-02,train,True,I1,M2,O6,low,T2,0.243636
AUT-3,True,0.321795,,0.7653365646943991,0.666667,0.75,0.769231,0.75,0.0,0.665299,0.682509,False,374.41,saf1k_0336_T2-02_AUT-3_dS0.66_dK0.66_dC0.66_T0.0_r1,T2-02,train,False,I4,M4,O7,high,T2,0.112935
AUT-3,True,0.5315,,0.7674951553443308,0.75,0.6,0.666667,0.0,0.0,0.472852,0.464925,False,373.01,saf1k_0331_T2-01_AUT-3_dS0.0_dK0.66_dC0.66_T0.0_r2,T2-01,train,False,I4,M6,O7,high,T2,0.211913
AUT-3,False,0.711176,,0.885751802150701,1.0,0.0,0.470588,0.0,0.0,0.0,0.025409,False,430.14,saf1k_0320_T2-01_AUT-3_dS0.0_dK0.0_dC1.0_T0.0_r0,T2-01,train,False,I4,M5,O4,high,T2,0.274989
AUT-3,False,0.9195,,0.86466366058795,0.0,0.0,0.133333,0.25,0.0,0.0,0.0,False,253.95,saf1k_0304_T2-01_AUT-3_dS0.33_dK0.0_dC0.0_T0.0_r2,T2-01,train,True,I2,M5,O1,medium,T2,0.453478
AUT-3,False,0.730303,,0.8527367249537631,0.333333,0.25,0.363636,0.25,0.0,0.209643,0.200378,False,277.84,saf1k_0332_T2-02_AUT-3_dS0.33_dK0.33_dC0.33_T0.0_r0,T2-02,train,True,I3,M4,O5,medium,T2,0.16143
AUT-3,True,0.128462,,0.6618796511030781,1.0,1.0,0.769231,1.0,0.0,0.837184,0.942975,True,430.92,saf1k_0342_T2-02_AUT-3_dS1.0_dK1.0_dC1.0_T0.0_r3,T2-02,train,False,I5,M2,O7,critical,T2,0.162816
AUT-3,True,0.374,,0.7935750739980933,0.75,0.6,0.666667,0.75,0.0,0.522952,0.549396,False,370.23,saf1k_0338_T2-01_AUT-3_dS0.66_dK0.66_dC0.66_T0.0_r3,T2-01,train,False,I4,M5,O7,high,T2,0.128414
AUT-3,True,0.15,,0.6849584786316308,1.0,1.0,0.666667,1.0,0.0,0.903443,0.964649,False,426.1,saf1k_0341_T2-01_AUT-3_dS1.0_dK1.0_dC1.0_T0.0_r2,T2-01,train,False,I5,M2,O7,critical,T2,0.096557
AUT-3,False,0.789529,,0.8596614002501226,0.0,0.4,0.411765,0.0,0.0,0.353052,0.318581,False,297.0,saf1k_0310_T2-01_AUT-3_dS0.0_dK0.33_dC0.0_T0.0_r2,T2-01,train,True,I3,M4,O5,medium,T2,0.117371
AUT-3,False,0.758676,,0.9149956875111214,0.75,0.0,0.470588,0.0,0.0,0.0,0.052967,False,368.13,saf1k_0317_T2-01_AUT-3_dS0.0_dK0.0_dC0.66_T0.0_r0,T2-01,train,True,I2,M2,O4,medium,T2,0.358648
AUT-3,True,0.504529,,0.7281885245874332,0.333333,0.75,0.363636,0.25,0.884675,0.591836,0.538741,True,377.92,saf1k_0349_T2-02_AUT-3_dS0.33_dK0.66_dC0.33_T720.0_r3,T2-02,train,False,I5,M7,O7,critical,T2,0.210886
AUT-3,False,0.757858,,0.7726416429045507,0.0,0.4,0.411765,0.0,0.395891,0.329492,0.289251,False,282.69,saf1k_0345_T2-01_AUT-3_dS0.0_dK0.33_dC0.0_T168.0_r2,T2-01,train,True,I4,M6,O7,high,T2,0.17627
AUT-3,False,0.793636,,0.8459998948261386,0.0,0.25,0.363636,0.25,0.0,0.226301,0.231695,False,251.49,saf1k_0325_T2-02_AUT-3_dS0.33_dK0.33_dC0.0_T0.0_r2,T2-02,train,True,I3,M2,O5,medium,T2,0.094794
AUT-3,False,0.758676,,0.9098033705380895,0.75,0.0,0.470588,0.0,0.0,0.0,0.013923,False,368.36,saf1k_0318_T2-01_AUT-3_dS0.0_dK0.0_dC0.66_T0.0_r1,T2-01,train,True,I2,M5,O4,medium,T2,0.191829
AUT-3,False,0.73525,,0.7833198543621842,0.0,0.6,0.375,0.0,0.0,0.545301,0.510171,True,338.59,saf1k_0313_T2-01_AUT-3_dS0.0_dK0.66_dC0.0_T0.0_r2,T2-01,train,False,I2,M2,O3,medium,T2,0.091165
AUT-3,False,0.8145,,0.8591136027027371,0.0,0.0,0.133333,0.75,0.0,0.0,0.172742,False,369.35,saf1k_0307_T2-01_AUT-3_dS0.66_dK0.0_dC0.0_T0.0_r2,T2-01,train,True,I2,M2,O1,medium,T2,0.298518
AUT-3,False,0.972,,0.8817297090960818,0.0,0.0,0.133333,0.0,0.0,0.0,0.0,False,192.62,saf1k_0300_T2-01_AUT-3_dS0.0_dK0.0_dC0.0_T0.0_r0,T2-01,train,False,I3,M6,O5,medium,T2,0.259576
AUT-3,True,0.15,,0.6707945969886769,1.0,1.0,0.666667,1.0,0.0,0.806072,0.84868,False,434.55,saf1k_0340_T2-01_AUT-3_dS1.0_dK1.0_dC1.0_T0.0_r1,T2-01,train,False,I5,M2,O7,critical,T2,0.193928
AUT-3,True,0.613636,,0.6783075409433059,0.0,1.0,0.363636,0.0,0.0,0.881558,0.667098,False,426.22,saf1k_0315_T2-02_AUT-3_dS0.0_dK1.0_dC0.0_T0.0_r1,T2-02,train,True,I5,M2,O3,critical,T2,0.118442
AUT-3,True,0.321795,,0.7241100558534066,0.666667,0.75,0.769231,0.75,0.0,0.704578,0.713655,False,368.25,saf1k_0335_T2-02_AUT-3_dS0.66_dK0.66_dC0.66_T0.0_r0,T2-02,train,False,I4,M4,O7,high,T2,0.060563
AUT-3,True,0.638636,,0.737854919948096,0.0,0.75,0.363636,0.25,0.0,0.707579,0.600116,False,370.49,saf1k_0327_T2-02_AUT-3_dS0.33_dK0.66_dC0.0_T0.0_r1,T2-02,train,True,I2,M1,O3,medium,T2,0.056562
AUT-3,False,0.785227,,0.8840415887235795,0.0,0.0,0.272727,0.75,0.0,0.0,0.196062,False,372.67,saf1k_0305_T2-02_AUT-3_dS0.66_dK0.0_dC0.0_T0.0_r0,T2-02,train,True,I2,M2,O1,medium,T2,0.195352
AUT-3,False,0.9265,,0.9241601562982639,0.0,0.0,0.1,0.25,0.0,0.0,0.029261,False,253.13,saf1k_0303_T2-02_AUT-3_dS0.33_dK0.0_dC0.0_T0.0_r1,T2-02,train,True,I2,M2,O1,medium,T2,0.279113
AUT-3,False,0.814465,,0.8102665624938422,0.0,0.25,0.363636,0.0,0.395891,0.172806,0.169826,False,261.38,saf1k_0344_T2-02_AUT-3_dS0.0_dK0.33_dC0.0_T168.0_r1,T2-02,train,True,I1,M1,O6,low,T2,0.308776
AUT-3,True,0.321795,,0.7655174379046495,0.666667,0.75,0.769231,0.75,0.0,0.608768,0.62521,True,377.3,saf1k_0337_T2-02_AUT-3_dS0.66_dK0.66_dC0.66_T0.0_r2,T2-02,train,False,I4,M3,O7,high,T2,0.188309
AUT-3,False,0.714545,,0.8965404839534497,1.0,0.0,0.454545,0.0,0.0,0.0,0.0,False,429.45,saf1k_0321_T2-02_AUT-3_dS0.0_dK0.0_dC1.0_T0.0_r1,T2-02,train,True,I4,M5,O4,high,T2,0.418559
AUT-3,True,0.504529,,0.7167705388331083,0.333333,0.75,0.363636,0.25,0.884675,0.651272,0.552629,False,372.92,saf1k_0348_T2-02_AUT-3_dS0.33_dK0.66_dC0.33_T720.0_r2,T2-02,train,False,I5,M7,O7,critical,T2,0.131638
AUT-3,True,0.15,,0.702939981926835,1.0,1.0,0.666667,1.0,0.0,0.914009,0.933711,False,425.09,saf1k_0339_T2-01_AUT-3_dS1.0_dK1.0_dC1.0_T0.0_r0,T2-01,train,False,I5,M5,O7,critical,T2,0.085991
AUT-3,False,0.689529,,0.8327795084589455,0.25,0.4,0.411765,0.25,0.0,0.366144,0.373496,False,284.31,saf1k_0333_T2-01_AUT-3_dS0.33_dK0.33_dC0.33_T0.0_r1,T2-01,validation,True,I3,M4,O5,medium,T2,0.08464
AUT-3,False,0.691136,,0.7527612041483325,0.0,0.75,0.363636,0.0,0.0,0.56621,0.51902,False,369.08,saf1k_0311_T2-02_AUT-3_dS0.0_dK0.66_dC0.0_T0.0_r0,T2-02,validation,True,I2,M3,O3,medium,T2,0.245054
AUT-3,True,0.613636,,0.7034981262406907,0.0,1.0,0.363636,0.0,0.0,0.943284,0.827202,False,430.37,saf1k_0316_T2-02_AUT-3_dS0.0_dK1.0_dC0.0_T0.0_r2,T2-02,validation,True,I5,M3,O3,critical,T2,0.056716
AUT-3,False,0.846136,,0.833578865715807,0.0,0.25,0.363636,0.0,0.0,0.218204,0.16185,False,248.66,saf1k_0308_T2-02_AUT-3_dS0.0_dK0.33_dC0.0_T0.0_r0,T2-02,validation,True,I3,M4,O5,medium,T2,0.127183
AUT-3,True,0.504529,,0.7873163790241348,0.333333,0.75,0.363636,0.25,0.884675,0.677203,0.558211,False,367.11,saf1k_0347_T2-02_AUT-3_dS0.33_dK0.66_dC0.33_T720.0_r1,T2-02,validation,False,I5,M1,O7,critical,T2,0.097063
AUT-3,True,0.500833,,0.7007138397696592,0.666667,0.75,0.666667,0.0,0.0,0.703357,0.48378,False,370.94,saf1k_0330_T2-02_AUT-3_dS0.0_dK0.66_dC0.66_T0.0_r1,T2-02,validation,False,I4,M3,O7,high,T2,0.062191
AUT-3,False,0.8145,,0.9410745599693633,0.0,0.0,0.133333,0.75,0.0,0.0,0.108794,False,373.03,saf1k_0306_T2-01_AUT-3_dS0.66_dK0.0_dC0.0_T0.0_r1,T2-01,validation,False,I2,M2,O1,medium,T2,0.214773
AUT-3,False,0.68275,,0.7601503769281599,0.0,0.6,0.375,0.25,0.0,0.58782,0.544856,False,329.73,saf1k_0326_T2-01_AUT-3_dS0.33_dK0.66_dC0.0_T0.0_r0,T2-01,validation,True,I2,M4,O3,medium,T2,0.020299
AUT-3,True,0.504529,,0.7099904823190476,0.333333,0.75,0.363636,0.25,0.884675,0.735,0.66838,False,367.77,saf1k_0346_T2-02_AUT-3_dS0.33_dK0.66_dC0.33_T720.0_r0,T2-02,validation,False,I5,M1,O7,critical,T2,0.02
AUT-3,False,0.758676,,0.8868574483307311,0.75,0.0,0.470588,0.0,0.0,0.0,0.0,False,378.31,saf1k_0319_T2-01_AUT-3_dS0.0_dK0.0_dC0.66_T0.0_r2,T2-01,validation,True,I2,M2,O4,medium,T2,0.159145
AUT-3,False,0.737029,,0.8394464135289788,0.0,0.4,0.411765,0.25,0.0,0.328765,0.28575,False,287.45,saf1k_0323_T2-01_AUT-3_dS0.33_dK0.33_dC0.0_T0.0_r0,T2-01,test,True,I3,M2,O5,medium,T2,0.178088
AUT-3,False,0.972,,0.9248400775697173,0.0,0.0,0.133333,0.0,0.0,0.0,0.0,False,188.75,saf1k_0301_T2-01_AUT-3_dS0.0_dK0.0_dC0.0_T0.0_r1,T2-01,test,True,I3,M4,O5,medium,T2,0.305738
AUT-3,False,0.689529,,0.8206276997287888,0.25,0.4,0.411765,0.25,0.0,0.359617,0.342623,True,297.65,saf1k_0334_T2-01_AUT-3_dS0.33_dK0.33_dC0.33_T0.0_r2,T2-01,test,False,I3,M4,O5,medium,T2,0.100958
AUT-3,True,0.5315,,0.790142433997374,0.75,0.6,0.666667,0.0,0.0,0.414882,0.396371,False,370.36,saf1k_0329_T2-01_AUT-3_dS0.0_dK0.66_dC0.66_T0.0_r0,T2-01,test,False,I4,M6,O7,high,T2,0.308529
AUT-3,False,0.711176,,0.9123281569343197,1.0,0.0,0.470588,0.0,0.0,0.0,0.0,False,438.11,saf1k_0322_T2-01_AUT-3_dS0.0_dK0.0_dC1.0_T0.0_r2,T2-01,test,True,I4,M5,O4,high,T2,0.302721
AUT-3,False,0.846136,,0.9155840105788179,0.0,0.25,0.363636,0.0,0.0,0.190257,0.161945,False,256.28,saf1k_0309_T2-02_AUT-3_dS0.0_dK0.33_dC0.0_T0.0_r1,T2-02,test,True,I3,M2,O5,medium,T2,0.238973
AUT-3,True,0.61125,,0.7168482206033289,0.0,1.0,0.375,0.0,0.0,0.769233,0.683231,True,432.18,saf1k_0314_T2-01_AUT-3_dS0.0_dK1.0_dC0.0_T0.0_r0,T2-01,test,False,I5,M3,O3,critical,T2,0.230767
AUT-3,False,0.9195,,0.9349287489790633,0.0,0.0,0.133333,0.25,0.0,0.0,0.0,False,254.75,saf1k_0302_T2-01_AUT-3_dS0.33_dK0.0_dC0.0_T0.0_r0,T2-01,test,True,I2,M2,O1,medium,T2,0.113961
AUT-3,False,0.793636,,0.8494880653269713,0.0,0.25,0.363636,0.25,0.0,0.214467,0.192199,False,254.8,saf1k_0324_T2-02_AUT-3_dS0.33_dK0.33_dC0.0_T0.0_r1,T2-02,test,True,I3,M4,O5,medium,T2,0.142133
AUT-3,False,0.73525,,0.7892564572710039,0.0,0.6,0.375,0.0,0.0,0.500214,0.452653,False,329.85,saf1k_0312_T2-01_AUT-3_dS0.0_dK0.66_dC0.0_T0.0_r1,T2-01,test,True,I2,M5,O3,medium,T2,0.16631
AUT-1,True,0.146316,,0.686554560574471,1.0,1.0,0.684211,1.0,0.0,0.864123,0.908699,True,450.86,saf1k_0241_T2-01_AUT-1_dS1.0_dK1.0_dC1.0_T0.0_r2,T2-01,train,False,I5,M2,O7,critical,T2,0.135877
AUT-1,True,0.52362,,0.7626371118615198,0.333333,0.75,0.272727,0.25,0.884675,0.684724,0.63388,False,379.57,saf1k_0249_T2-02_AUT-1_dS0.33_dK0.66_dC0.33_T720.0_r3,T2-02,train,False,I5,M1,O7,critical,T2,0.087034
