incident_id,source,cve_id,title,model,ars_proxy,cve_match,vendor_match,product_match,ttps_claimed,confidence_stated,output_first_200,human_label,human_notes
CVE-2026-32201,cisa_kev,CVE-2026-32201,CVE-2026-32201: Microsoft SharePoint Server Improper Input Validation Vulnerability,gpt-4o-mini,0.6,False,True,True,T1203,0.8,"1. CVE identifier: unknown   2. Affected vendor and product: Microsoft, SharePoint Server   3. Most likely ATT&CK TTPs: T1203 (Exploitation for Client Execution)   4. Recommended containment actions: ",,
CVE-2012-1854,cisa_kev,CVE-2012-1854,CVE-2012-1854: Microsoft Visual Basic for Applications Insecure Library Loading Vulnerability,gpt-4o-mini,0.6,False,True,True,T1203,0.8,"1. CVE identifier: unknown   2. Affected vendor and product: Microsoft, Visual Basic for Applications (VBA)   3. Most likely ATT&CK TTPs: T1203   4. Recommended containment actions: Apply mitigations ",,
CVE-2025-60710,cisa_kev,CVE-2025-60710,CVE-2025-60710: Microsoft Windows Link Following Vulnerability,gpt-4o-mini,0.6,False,True,True,T1068,0.8,"1. CVE identifier: unknown   2. Affected vendor and product: Microsoft, Windows   3. Most likely ATT&CK TTPs: T1068   4. Recommended containment actions: Apply mitigations per vendor instructions, fol",,
CVE-2023-21529,cisa_kev,CVE-2023-21529,CVE-2023-21529: Microsoft Exchange Server Deserialization of Untrusted Data Vulnerability,gpt-4o-mini,0.6,False,True,True,T1203,0.8,1. CVE identifier: unknown   2. Affected vendor and product: Microsoft Exchange Server   3. Most likely ATT&CK TTPs: T1203 (Exploitation for Client Execution)   4. Recommended containment actions: App,,
CVE-2023-36424,cisa_kev,CVE-2023-36424,CVE-2023-36424: Microsoft Windows Out-of-Bounds Read Vulnerability,gpt-4o-mini,0.6,False,True,True,T1068,0.8,"1. CVE identifier: unknown   2. Affected vendor and product: Microsoft, Windows   3. Most likely ATT&CK TTPs: T1068 (Exploitation of Elevation of Privilege)   4. Recommended containment actions: Apply",,
CVE-2020-9715,cisa_kev,CVE-2020-9715,CVE-2020-9715: Adobe Acrobat Use-After-Free Vulnerability,gpt-4o-mini,0.6,False,True,True,T1203,0.8,"1. CVE identifier: unknown   2. Affected vendor and product: Adobe Acrobat   3. Most likely ATT&CK TTPs: T1203   4. Recommended containment actions: Apply mitigations per vendor instructions, follow a",,
CVE-2026-21643,cisa_kev,CVE-2026-21643,CVE-2026-21643: Fortinet FortiClient EMS SQL Injection Vulnerability,gpt-4o-mini,0.6,False,True,True,T1190,0.9,"1. CVE identifier: unknown   2. Affected vendor and product: Fortinet, FortiClient EMS   3. Most likely ATT&CK TTPs: T1190   4. Recommended containment actions: Apply mitigations per vendor instructio",,
CVE-2026-34621,cisa_kev,CVE-2026-34621,CVE-2026-34621: Adobe Acrobat and Reader Prototype Pollution Vulnerability,gpt-4o-mini,0.6,False,True,True,T1203,0.8,1. CVE identifier: unknown   2. Affected vendor and product: Adobe Acrobat and Reader   3. Most likely ATT&CK TTPs: T1203   4. Recommended containment actions: Apply mitigations per vendor instruction,,
CVE-2026-1340,cisa_kev,CVE-2026-1340,CVE-2026-1340: Ivanti Endpoint Manager Mobile (EPMM) Code Injection Vulnerability,gpt-4o-mini,0.6,False,True,True,T1203,0.8,"1. CVE identifier: unknown   2. Affected vendor and product: Ivanti, Endpoint Manager Mobile (EPMM)   3. Most likely ATT&CK TTPs: T1203 (Exploitation for Client Execution)   4. Recommended containment",,
CVE-2026-35616,cisa_kev,CVE-2026-35616,CVE-2026-35616: Fortinet FortiClient EMS Improper Access Control Vulnerability,gpt-4o-mini,0.6,False,True,True,T1203,0.8,"1. CVE identifier: unknown 2. Affected vendor and product: Fortinet, FortiClient EMS 3. Most likely ATT&CK TTPs: T1203 (Exploitation for Client Execution) 4. Recommended containment actions: Apply mit",,
49832,dfir_report,,Apache ActiveMQ Exploit Leads to LockBit Ransomware,gpt-4o-mini,0.1,False,False,False,T1203,0.9,1. CVE identifier: CVE-2023-46604   2. Affected vendor and product: Apache ActiveMQ   3. Most likely ATT&CK TTPs: T1203 (Exploitation for Client Execution)   4. Recommended containment actions: Isolat,,
49747,dfir_report,,Cat’s Got Your Files: Lynx Ransomware,gpt-4o-mini,0.1,False,False,False,T1076,0.6,"1. CVE identifier: unknown   2. Affected vendor and product: unknown   3. Most likely ATT&CK TTPs: T1076 (Remote Desktop Protocol)   4. Recommended containment actions: Isolate the affected system, ch",,
49376,dfir_report,,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira,gpt-4o-mini,0.1,False,False,False,T1193,0.7,1. CVE identifier: unknown   2. Affected vendor and product: unknown   3. Most likely ATT&CK TTPs: T1193 (Spear Phishing Link)   4. Recommended containment actions: Implement email filtering solutions,,
48447,dfir_report,,From a Single Click: How Lunar Spider Enabled a Near Two-Month Intrusion,gpt-4o-mini,0.0,False,False,False,,0.0,1. CVE identifier: unknown   2. Affected vendor and product: unknown   3. Most likely ATT&CK TTPs: unknown   4. Recommended containment actions: unknown   5. Your confidence:   CONFIDENCE: 0.0,,
47946,dfir_report,,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs,gpt-4o-mini,0.0,False,False,False,,0.0,1. CVE identifier: unknown   2. Affected vendor and product: unknown   3. Most likely ATT&CK TTPs: unknown   4. Recommended containment actions: unknown   5. Your confidence:   CONFIDENCE: 0.0,,
45286,dfir_report,,KongTuke FileFix Leads to New Interlock RAT Variant,gpt-4o-mini,0.1,False,False,False,T1071.001,0.7,1. CVE identifier: unknown   2. Affected vendor and product: unknown   3. Most likely ATT&CK TTPs: T1071.001 (Application Layer Protocol: Web Protocols)   4. Recommended containment actions: Isolate a,,
44656,dfir_report,,Hide Your RDP: Password Spray Leads to RansomHub Deployment,gpt-4o-mini,0.1,False,False,False,T1110,0.7,"1. CVE identifier: unknown   2. Affected vendor and product: unknown   3. Most likely ATT&CK TTPs: T1110 (Brute Force)   4. Recommended containment actions: Disable RDP access, implement account locko",,
43853,dfir_report,,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware,gpt-4o-mini,0.1,False,False,False,T1203,0.9,1. CVE identifier: CVE-2023-22527   2. Affected vendor and product: Confluence server   3. Most likely ATT&CK TTPs: T1203 (Exploitation of Client Execution)   4. Recommended containment actions: Patch,,
43393,dfir_report,,Navigating Through The Fog,gpt-4o-mini,0.1,False,False,False,T1071.001;T1086;T1046,0.7,"1. CVE identifier: unknown   2. Affected vendor and product: unknown   3. Most likely ATT&CK TTPs: T1086 (PowerShell), T1071.001 (Application Layer Protocol: Web Protocols), T1046 (Network Service Sca",,
42828,dfir_report,,Fake Zoom Ends in BlackSuit Ransomware,gpt-4o-mini,0.1,False,False,False,T1203,0.8,1. CVE identifier: unknown   2. Affected vendor and product: Zoom   3. Most likely ATT&CK TTPs: T1203 (Exploitation for Client Execution)   4. Recommended containment actions: Block access to the mali,,
CVE-2026-20122,cisa_kev,CVE-2026-20122,CVE-2026-20122: Cisco Catalyst SD-WAN Manager Incorrect Use of Privileged APIs Vulnerability,claude-sonnet-4-6,0.6,False,True,True,T1608.001;T1078.004;T1222;T1565.001;T1068;T1190,,"## Security Advisory Triage Report  ---  ### 1. CVE Identifier **CVE not explicitly stated in advisory** — however, based on the description (Cisco Catalyst SD-WAN Manager, incorrect use of privileged",,
CVE-2026-20133,cisa_kev,CVE-2026-20133,CVE-2026-20133: Cisco Catalyst SD-WAN Manager Exposure of Sensitive Information to an Unauthorized Actor Vulnerability,claude-sonnet-4-6,0.6,False,True,True,T1078;T1046;T1552;T1552.001;T1190;T1119,0.0,"## Security Advisory Triage  ### 1. CVE Identifier **CVE not explicitly stated in advisory** — however, based on the Cisco Catalyst SD-WAN Manager ""Exposure of Sensitive Information"" vulnerability add",,
CVE-2025-2749,cisa_kev,CVE-2025-2749,CVE-2025-2749: Kentico Xperience Path Traversal Vulnerability,claude-sonnet-4-6,0.6,False,True,True,T1505.003;T1078;T1083;T1560;T1059;T1190,,## Security Advisory Triage  ### 1. CVE Identifier **Unknown** — No CVE identifier is explicitly provided in this advisory.  ---  ### 2. Affected Vendor and Product - **Vendor:** Kentico - **Product:*,,
CVE-2023-27351,cisa_kev,CVE-2023-27351,CVE-2023-27351: PaperCut NG/MF Improper Authentication Vulnerability,claude-sonnet-4-6,0.35,False,True,False,T1078;T1059;T1078.004;T1105;T1486;T1190,,"## Security Advisory Triage Report  ---  ### 1. CVE Identifier **CVE-2023-27350** *(most likely — the well-known PaperCut NG/MF authentication bypass via SecurityRequestFilter; however, the advisory d",,
CVE-2025-48700,cisa_kev,CVE-2025-48700,CVE-2025-48700: Synacor Zimbra Collaboration Suite (ZCS) Cross-site Scripting Vulnerability,claude-sonnet-4-6,0.6,False,True,True,T1078;T1539;T1059.007;T1566.002;T1185,0.62,## Security Advisory Triage  ### 1. CVE Identifier **Unknown** — No specific CVE identifier is provided in this advisory.  > *Note: Multiple XSS CVEs have been associated with Zimbra ZCS historically ,,
CVE-2026-20128,cisa_kev,CVE-2026-20128,CVE-2026-20128: Cisco Catalyst SD-WAN Manager Storing Passwords in a Recoverable Format Vulnerability,claude-sonnet-4-6,0.6,False,True,True,T1552.001;T1068;T1003;T1078.003,,## Security Advisory Triage Report  ---  ### 1. CVE Identifier **CVE not explicitly stated in advisory** — unknown (advisory references a Cisco Catalyst SD-WAN Manager vulnerability added to KEV on 20,,
CVE-2025-32975,cisa_kev,CVE-2025-32975,CVE-2025-32975: Quest KACE Systems Management Appliance (SMA) Improper Authentication Vulnerability,claude-sonnet-4-6,0.6,False,True,True,T1078;T1072;T1078.003;T1021;T1556;T1190,,## Security Advisory Triage Report  ---  ### 1. CVE Identifier **Unknown** — No CVE identifier was explicitly provided in the advisory text. (This may be a newly catalogued KEV entry; analysts should ,,
CVE-2024-27199,cisa_kev,CVE-2024-27199,CVE-2024-27199: JetBrains TeamCity Relative Path Traversal Vulnerability,claude-sonnet-4-6,0.6,False,True,True,T1083;T1059;T1078.003;T1565.001;T1486;T1190,0.72,## Security Advisory Triage  ### 1. CVE Identifier The advisory does not explicitly state a CVE identifier. Based on known JetBrains TeamCity path traversal vulnerabilities associated with ransomware ,,
CVE-2026-34197,cisa_kev,CVE-2026-34197,CVE-2026-34197: Apache ActiveMQ Improper Input Validation Vulnerability,claude-sonnet-4-6,0.6,False,True,True,T1203;T1059;T1210;T1105;T1190,0.82,"## Security Advisory Triage  ### 1. CVE Identifier The advisory does not explicitly state a CVE identifier. However, based on the description (Apache ActiveMQ improper input validation / code injectio",,
CVE-2009-0238,cisa_kev,CVE-2009-0238,CVE-2009-0238: Microsoft Office Remote Code Execution,claude-sonnet-4-6,0.6,False,True,True,T1204.002;T1203;T1059;T1105;T1566.001,0.62,## Security Advisory Triage  ### 1. CVE Identifier **Unknown** — No CVE identifier was provided in the advisory text.  ---  ### 2. Affected Vendor and Product - **Vendor:** Microsoft - **Product:** Mi,,
CVE-2026-32201,cisa_kev,CVE-2026-32201,CVE-2026-32201: Microsoft SharePoint Server Improper Input Validation Vulnerability,claude-sonnet-4-6,0.6,False,True,True,T1557.001;T1036;T1566;T1557;T1190,0.62,## Security Advisory Triage  ### 1. CVE Identifier Not explicitly provided in the advisory. Listed as unknown in this context — likely a 2025/2026 CVE pending confirmation. **CVE: unknown** (not state,,
CVE-2012-1854,cisa_kev,CVE-2012-1854,CVE-2012-1854: Microsoft Visual Basic for Applications Insecure Library Loading Vulnerability,claude-sonnet-4-6,0.6,False,True,True,T1204.002;T1055;T1574.001;T1574.002;T1566.001;T1059.005,0.0,## Security Advisory Triage Report  ---  ### 1. CVE Identifier **Unknown** — No CVE identifier is explicitly provided in this advisory.  ---  ### 2. Affected Vendor and Product - **Vendor:** Microsoft,,
CVE-2025-60710,cisa_kev,CVE-2025-60710,CVE-2025-60710: Microsoft Windows Link Following Vulnerability,claude-sonnet-4-6,0.6,False,True,True,T1574;T1068;T1574.010;T1548;T1548.002,0.55,## Security Advisory Triage  ### 1. CVE Identifier **Unknown** — No CVE identifier was provided in this advisory.  ### 2. Affected Vendor and Product - **Vendor:** Microsoft - **Product:** Windows  ##,,
CVE-2023-21529,cisa_kev,CVE-2023-21529,CVE-2023-21529: Microsoft Exchange Server Deserialization of Untrusted Data Vulnerability,claude-sonnet-4-6,0.6,False,True,True,T1570;T1078;T1203;T1059;T1486;T1190,0.72,"## Security Advisory Triage  ### 1. CVE Identifier Not explicitly provided in the advisory. Based on the description (Microsoft Exchange Server deserialization RCE, added to KEV 2026-04-13), this like",,
CVE-2023-36424,cisa_kev,CVE-2023-36424,CVE-2023-36424: Microsoft Windows Out-of-Bounds Read Vulnerability,claude-sonnet-4-6,0.6,False,True,True,T1055;T1203;T1068;T1543.003,0.72,"## Security Advisory Triage  ### 1. CVE Identifier **Unknown** — No CVE identifier was provided in this advisory. (Note: This appears to be a KEV entry dated 2026-04-13, which may reference a future o",,
CVE-2020-9715,cisa_kev,CVE-2020-9715,CVE-2020-9715: Adobe Acrobat Use-After-Free Vulnerability,claude-sonnet-4-6,0.6,False,True,True,T1203;T1059;T1204.002;T1055,0.61,## Security Advisory Triage  ### 1. CVE Identifier **Unknown** — No CVE identifier was provided in this advisory. (Note: This appears to be a KEV entry dated 2026-04-13; the specific CVE was not inclu,,
CVE-2026-21643,cisa_kev,CVE-2026-21643,CVE-2026-21643: Fortinet FortiClient EMS SQL Injection Vulnerability,claude-sonnet-4-6,0.6,False,True,True,T1505.003;T1078;T1059;T1110;T1190,0.85,## Security Advisory Triage  ### 1. CVE Identifier **CVE-2023-48788** (Fortinet FortiClient EMS SQL Injection — this is the well-known CVE associated with this specific vulnerability description and K,,
CVE-2026-34621,cisa_kev,CVE-2026-34621,CVE-2026-34621: Adobe Acrobat and Reader Prototype Pollution Vulnerability,claude-sonnet-4-6,0.6,False,True,True,T1203;T1059;T1204.002;T1566.001,0.61,## Security Advisory Triage  ### 1. CVE Identifier **Unknown** — No CVE identifier was provided in this advisory.  ### 2. Affected Vendor and Product - **Vendor:** Adobe - **Product:** Acrobat and Rea,,
CVE-2026-1340,cisa_kev,CVE-2026-1340,CVE-2026-1340: Ivanti Endpoint Manager Mobile (EPMM) Code Injection Vulnerability,claude-sonnet-4-6,0.6,False,True,True,T1078;T1059;T1552;T1210;T1133;T1190,,"## Security Advisory Triage  ### 1. CVE Identifier The advisory does not explicitly state a CVE identifier. Based on the description (Ivanti EPMM code injection, unauthenticated RCE, KEV added 2026-04",,
CVE-2026-35616,cisa_kev,CVE-2026-35616,CVE-2026-35616: Fortinet FortiClient EMS Improper Access Control Vulnerability,claude-sonnet-4-6,0.6,False,True,True,T1078;T1059;T1210;T1133;T1190,0.72,## Security Advisory Triage  ### 1. CVE Identifier The advisory does not explicitly state a CVE identifier. Based on the description matching known Fortinet FortiClient EMS improper access control vul,,
49832,dfir_report,,Apache ActiveMQ Exploit Leads to LockBit Ransomware,claude-sonnet-4-6,0.1,False,False,False,T1059.007;T1203;T1059;T1105;T1071.001;T1190,0.93,## Security Advisory Triage  ### 1. CVE Identifier **CVE-2023-46604**  ### 2. Affected Vendor and Product - **Vendor:** Apache Software Foundation - **Product:** Apache ActiveMQ (message broker)  ### ,,
49747,dfir_report,,Cat’s Got Your Files: Lynx Ransomware,claude-sonnet-4-6,0.1,False,False,False,T1078;T1021.001;T1133;T1110;T1078.002;T1589,0.52,"## Security Advisory Triage  ### 1. CVE Identifier **Unknown** — No specific CVE is referenced in this advisory excerpt.  ### 2. Affected Vendor and Product - **Vendor:** Unknown (victim organization,",,
49376,dfir_report,,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira,claude-sonnet-4-6,0.1,False,False,False,T1204.002;T1078;T1189;T1566.002;T1608.006;T1059.001;T1105;T1071.001;T1036.005,,"# Security Advisory Triage: Bumblebee Malware SEO Poisoning Campaign  ---  ## 1. CVE Identifier **None present** — This advisory describes a malware campaign/TTP, not a specific software vulnerability",,
48447,dfir_report,,From a Single Click: How Lunar Spider Enabled a Near Two-Month Intrusion,claude-sonnet-4-6,0.1,False,False,False,T1071;T1095;T1204;T1190;T1573;T1570;T1078;T1083;T1027;T1489;T1048;T1003;T1110;T1068;T1018;T1562;T1490;T1021;T1055;T1059;T1078.003;T1547;T1566;T1136;T1070;T1041;T1053;T1486;T1082;T1555,0.1,## Security Advisory Triage  ### 1. CVE Identifier **Unknown** — No CVE is referenced in the provided advisory excerpt.  ### 2. Affected Vendor and Product **Unknown** — The advisory excerpt is trunca,,
47946,dfir_report,,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs,claude-sonnet-4-6,0.1,False,False,False,T1071;T1082;T1083;T1059;T1027;T1021;T1547;T1562;T1566;T1003;T1005;T1041;T1053;T1068;T1486;T1190,0.1,## Security Advisory Triage  ### 1. CVE Identifier **Unknown** — No CVE is referenced in the provided advisory excerpt.  ### 2. Affected Vendor and Product **Unknown** — The advisory excerpt is trunca,,
45286,dfir_report,,KongTuke FileFix Leads to New Interlock RAT Variant,claude-sonnet-4-6,0.1,False,False,False,T1059.006;T1083;T1059.007;T1027;T1547;T1105;T1133;T1041;T1071.001;T1486;T1082,,## Security Advisory Triage  ### 1. CVE Identifier **Unknown** — No CVE identifier is present in this advisory. This appears to be a novel malware campaign rather than a vulnerability-based exploit.  ,,
44656,dfir_report,,Hide Your RDP: Password Spray Leads to RansomHub Deployment,claude-sonnet-4-6,0.1,False,False,False,T1078;T1589.001;T1021.001;T1133;T1110.003,0.72,## Security Advisory Triage  ### 1. CVE Identifier **Unknown** — No specific CVE is referenced in this advisory. The attack leverages credential-based access (password spraying) rather than a software,,
43853,dfir_report,,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware,claude-sonnet-4-6,0.1,False,False,False,T1570;T1072;T1082;T1059.004;T1059;T1203;T1105;T1133;T1190,0.93,## Security Advisory Triage  ### 1. CVE Identifier **CVE-2023-22527**  ### 2. Affected Vendor and Product - **Vendor:** Atlassian - **Product:** Confluence Server / Data Center (unpatched instance)  #,,
43393,dfir_report,,Navigating Through The Fog,claude-sonnet-4-6,0.1,False,False,False,T1570;T1018;T1082;T1083;T1567;T1059;T1489;T1595;T1021;T1547;T1133;T1041;T1053;T1592;T1486;T1190,0.55,## Security Advisory Triage  ### 1. CVE Identifier No specific CVE identifier is mentioned in this advisory excerpt. The advisory references tooling used by a ransomware affiliate rather than a specif,,
42828,dfir_report,,Fake Zoom Ends in BlackSuit Ransomware,claude-sonnet-4-6,0.1,False,False,False,T1204.002;T1059;T1608.004;T1027;T1140;T1566.002;T1105;T1036.005,,## Security Advisory Triage  ### 1. CVE Identifier **Unknown** — No specific CVE is referenced in this advisory.  ---  ### 2. Affected Vendor and Product - **Targeted/Impersonated:** Zoom Video Commun,,
